machine,limits,benchmark,base_result,lower_is_better,result
t2.micro,with,ramsmp_fl-point_writing_64kb_block,6405.93,False,4791.53
t2.micro,with,ramsmp_fl-point_writing_128kb_block,6344.77,False,5010.42
t2.micro,with,ramsmp_fl-point_writing_256kb_block,6287.62,False,4540.80
t2.micro,with,ramsmp_fl-point_writing_512kb_block,6252.38,False,4284.56
t2.micro,with,ramsmp_fl-point_writing_1024kb_block,5275.28,False,4291.83
t2.micro,with,ramsmp_fl-point_writing_2048kb_block,5069.86,False,4287.61
t2.micro,with,ramsmp_fl-point_writing_4096kb_block,5071.63,False,4124.01
t2.micro,with,ramsmp_fl-point_writing_8192kb_block,5066.69,False,4092.72
t2.micro,with,ramsmp_fl-point_writing_16384kb_block,5062.19,False,3880.37
t2.micro,with,ramsmp_fl-point_writing_32768kb_block,5051.49,False,1684.51
t2.micro,with,ramsmp_fl-point_reading_1kb_block,2022.72,False,11822.14
t2.micro,with,ramsmp_fl-point_reading_2kb_block,2030.82,False,10746.66
t2.micro,with,ramsmp_fl-point_reading_4kb_block,2034.85,False,10760.26
t2.micro,with,ramsmp_fl-point_reading_8kb_block,2032.79,False,10724.56
t2.micro,with,ramsmp_fl-point_reading_16kb_block,2035.83,False,10752.23
t2.micro,with,ramsmp_fl-point_reading_32kb_block,1839.15,False,10758.30
t2.micro,with,ramsmp_fl-point_reading_64kb_block,1362.23,False,8519.94
t2.micro,with,ramsmp_fl-point_reading_128kb_block,1359.35,False,7869.86
t2.micro,with,ramsmp_fl-point_reading_256kb_block,1353.79,False,7119.40
t2.micro,with,ramsmp_fl-point_reading_512kb_block,966.63,False,6145.22
t2.micro,with,ramsmp_fl-point_reading_1024kb_block,710.34,False,6136.59
t2.micro,with,ramsmp_fl-point_reading_2048kb_block,680.64,False,6149.75
t2.micro,with,ramsmp_fl-point_reading_4096kb_block,681.38,False,6185.09
t2.micro,with,ramsmp_fl-point_reading_8192kb_block,681.75,False,6126.03
t2.micro,with,ramsmp_fl-point_reading_16384kb_block,681.81,False,5733.63
t2.micro,with,ramsmp_fl-point_reading_32768kb_block,682.03,False,1874.59
t2.micro,with,ramsmp_fl-point_copy,1308.71,False,1611.14
t2.micro,with,ramsmp_fl-point_scale,94.24,False,1593.19
t2.micro,with,ramsmp_fl-point_add,133.08,False,1923.06
t2.micro,with,ramsmp_fl-point_triad,70.92,False,1935.72
issdm-6,with,stockfish-7,241111,False,67763
t2.micro,with,stockfish-7,241111,False,423835
