machine,limits,benchmark,base_result,lower_is_better,result,normalized
issdm-6,with,ramsmp_integer_writing_2kb_block,6258.44,False,2318.98,-2.6987899852521364
issdm-6,with,ramsmp_integer_writing_4kb_block,6372.48,False,2319.64,-2.747184908002966
issdm-6,with,ramsmp_integer_writing_8kb_block,6354.7,False,2322.43,-2.736228863733245
issdm-6,with,ramsmp_integer_writing_16kb_block,6380.7,False,2317.81,-2.7529003671569283
issdm-6,with,ramsmp_integer_writing_32kb_block,6397.46,False,2262.72,-2.82733170697214
issdm-6,with,ramsmp_integer_writing_64kb_block,6401.04,False,2260.0,-2.8323185840707965
issdm-6,with,ramsmp_integer_writing_128kb_block,6340.53,False,568.86,-11.146028899905073
issdm-6,with,ramsmp_integer_writing_256kb_block,6284.87,False,565.09,-11.121892087985984
issdm-6,with,ramsmp_integer_writing_512kb_block,6201.42,False,557.84,-11.116843539366126
issdm-6,with,ramsmp_integer_writing_1024kb_block,5364.05,False,235.32,-22.794705082440935
issdm-6,with,ramsmp_integer_writing_2048kb_block,5071.37,False,163.64,-30.99101686629186
issdm-6,with,ramsmp_integer_writing_4096kb_block,5070.03,False,168.08,-30.16438600666349
issdm-6,with,ramsmp_integer_writing_8192kb_block,5041.1,False,173.88,-28.99183344835519
issdm-6,with,ramsmp_integer_writing_16384kb_block,5062.62,False,176.72,-28.647691263014938
issdm-6,with,ramsmp_integer_writing_32768kb_block,5050.68,False,177.5,-28.454535211267608
issdm-6,with,ramsmp_integer_reading_1kb_block,2022.82,False,2262.36,1.1184188410239173
issdm-6,with,ramsmp_integer_reading_2kb_block,2030.85,False,2260.16,1.112913312159933
issdm-6,with,ramsmp_integer_reading_4kb_block,2034.96,False,2317.53,1.1388577662460198
issdm-6,with,ramsmp_integer_reading_8kb_block,2032.86,False,2259.59,1.1115325206851432
issdm-6,with,ramsmp_integer_reading_16kb_block,2028.21,False,2260.15,1.11435699459129
issdm-6,with,ramsmp_integer_reading_32kb_block,1825.49,False,2261.37,1.238774246914527
issdm-6,with,ramsmp_integer_reading_64kb_block,1357.47,False,2259.12,1.6642135737806358
issdm-6,with,ramsmp_integer_reading_128kb_block,1354.29,False,580.27,-2.3338962896582625
issdm-6,with,ramsmp_integer_reading_256kb_block,1153.53,False,580.33,-1.9877138869264037
issdm-6,with,ramsmp_integer_reading_512kb_block,886.98,False,576.44,-1.5387204218999375
issdm-6,with,ramsmp_integer_reading_1024kb_block,714.8,False,362.49,-1.971916466661149
issdm-6,with,ramsmp_integer_reading_2048kb_block,676.96,False,221.94,-3.0501937460574933
issdm-6,with,ramsmp_integer_reading_4096kb_block,677.84,False,222.55,-3.0457874634913504
issdm-6,with,ramsmp_integer_reading_8192kb_block,678.26,False,223.66,-3.0325494053474022
issdm-6,with,ramsmp_integer_reading_16384kb_block,678.26,False,223.14,-3.039616384332706
issdm-6,with,ramsmp_integer_reading_32768kb_block,678.53,False,223.68,-3.0334853361945635
issdm-6,with,ramsmp_integer_copy,1304.27,False,178.96,-7.28805319624497
issdm-6,with,ramsmp_integer_scale,889.15,False,179.89,-4.94274278725888
issdm-6,with,ramsmp_integer_add,1074.81,False,177.72,-6.047771775827144
issdm-6,with,ramsmp_integer_triad,889.58,False,172.84,-5.146841009025689
