benchmark,base_result,machine,limits,class,lower_is_better,repetition,result,normalized
stressng-string-strcpy,1956.156411,issdm-6,with,string,False,1,3321.241802,1.6978406140346207
stressng-cpu-decimal32,44.270772,issdm-6,with,cpu,False,1,72.156559,1.6298915907768676
stressng-memory-context,1831.81215,issdm-6,without,memory,False,3,2944.327377,1.6073304115817773
stressng-string-strcat,473.246385,issdm-6,with,string,False,1,752.905493,1.5909376529099108
stressng-cpu-gcd,496.183508,issdm-6,without,cpu,False,3,630.7252030000002,1.2711530972528815
stressng-cpu-stream,4.67103,issdm-6,with,cpu,False,1,5.8701120000000016,1.2567061226324816
stressng-cpu-int64longdouble,371.986874,issdm-6,without,cpu,False,3,461.491231,1.24061160018243
stressng-cpu-rand48,120.737833,issdm-6,with,cpu,False,1,146.46258899999995,1.213062926183212
stressng-string-strncmp,994.648214,issdm-6,with,string,False,1,1191.21119,1.197620599155874
stressng-string-rindex,1184.929397,issdm-6,with,string,False,1,1271.802941,1.0733153757683336
stressng-string-strrchr,1202.0035,issdm-6,with,string,False,1,1275.938482,1.0615097892809795
stressng-cpu-int128float,245.446388,issdm-6,with,cpu,False,1,248.76253,1.0135106571623291
stressng-cpu-rand,1659.9056,issdm-6,with,cpu,False,1,1221.003668,-1.3594599619171661
stressng-string-strlen,4833.754268,issdm-6,with,string,False,1,3523.333853,-1.3719262691737886
stressng-string-strchr,4233.78788,issdm-6,with,string,False,1,2651.916439,-1.5965012387782855
stressng-cpu-jmp,3323.58004,issdm-6,with,cpu,False,1,2036.116311,-1.6323134498970182
stressng-cpu-callfunc,28821.929834,issdm-6,with,cpu,False,1,17637.443025,-1.634133121969362
stressng-cpu-dither,15.7718,issdm-6,with,cpu,False,1,9.629932,-1.6377893426454102
stressng-cpu-str,1325.939887,issdm-6,with,cpu,False,1,791.647386,-1.6749122279044577
stressng-memory-str,1326.342712,issdm-6,with,memory,False,1,771.94782,-1.7181766404884724
stressng-cpu-prime,0.371144,issdm-6,with,cpu,False,1,0.215367,-1.7233095135280707
stressng-cpu-int32,5772.723277,issdm-6,with,cpu,False,1,3314.447464,-1.7416849534351226
stressng-string-strncasecmp,11049.836636,issdm-6,without,string,False,3,6297.984834000001,-1.7545035320420082
stressng-string-index,4233.804741,issdm-6,with,string,False,1,2411.118108,-1.7559507877081568
stressng-cpu-int8,5908.934274,issdm-6,with,cpu,False,1,3313.254329,-1.7834230901868084
stressng-cpu-lsearch,0.900209,issdm-6,with,cpu,False,1,0.498532,-1.8057195927242384
stressng-cpu-ackermann,1.344893,issdm-6,with,cpu,False,1,0.738698,-1.8206262911230304
stressng-cpu-int16,5772.348435,issdm-6,with,cpu,False,1,3057.327845,-1.888037112029116
stressng-cpu-wcs,925.337688,issdm-6,with,cpu,False,1,475.189022,-1.947304430782915
stressng-memory-stackmmap,0.199517,issdm-6,with,memory,False,1,0.09983,-1.9985675648602623
stressng-memory-stackmmap,0.199517,issdm-6,without,memory,False,3,0.09977,-1.9997694697804949
stressng-cpu-longjmp,9992.8894,issdm-6,with,cpu,False,1,4851.9640869999985,-2.059555516244282
stressng-cpu-int64,5772.306863000002,issdm-6,with,cpu,False,1,2802.221312,-2.059903990552478
stressng-cpu-fnv1a,11638.691738,issdm-6,with,cpu,False,1,5649.846338,-2.060001465831016
stressng-cpu-int128,613.545523,issdm-6,with,cpu,False,1,291.430457,-2.1052896437656825
stressng-string-strcasecmp,13501.029625,issdm-6,without,string,False,3,6366.731877,-2.1205588496309784
stressng-string-strcoll,2038.277691,issdm-6,with,string,False,1,958.203358,-2.1271869629578157
stressng-string-strxfrm,552.3283389999998,issdm-6,with,string,False,1,254.595259,-2.1694368589950837
stressng-cpu-tsearch,1.670376,issdm-6,with,cpu,False,1,0.751893,-2.2215607805897912
stressng-string-strncat,492.419007,issdm-6,with,string,False,1,221.583715,-2.2222707431365163
stressng-cpu-sieve,1.949553,issdm-6,with,cpu,False,1,0.864419,-2.2553333510716445
stressng-memory-oom-pipe,0.199394,issdm-6,without,memory,False,3,0.088345,-2.256992472692286
stressng-cpu-opcode,407.538883,issdm-6,with,cpu,False,1,179.700501,-2.2678783906117213
stressng-cpu-bsearch,40.688476,issdm-6,with,cpu,False,1,17.776502999999995,-2.288890902783298
stressng-cpu-decimal128,35.360962,issdm-6,with,cpu,False,1,13.898575,-2.544214928508858
stressng-cpu-fibonacci,2492582.05995,issdm-6,with,cpu,False,1,903164.75778,-2.759830959388656
stressng-cpu-loop,4066.367797,issdm-6,with,cpu,False,1,1352.3047390000004,-3.0069907172010577
stressng-cpu-hsearch,371.082226,issdm-6,with,cpu,False,1,122.495505,-3.0293538199626178
stressng-cpu-parity,3268.90182,issdm-6,with,cpu,False,1,1075.298514,-3.0399947339646367
stressng-cpu-phi,2163412.79741,issdm-6,with,cpu,False,1,708158.377099,-3.0549844037325515
stressng-memory-remap,121.64104,issdm-6,with,memory,False,1,38.223278,-3.182381165738846
stressng-cpu-sdbm,18579.119201,issdm-6,with,cpu,False,1,5466.949139,-3.398443762437936
stressng-cpu-queens,20.599903,issdm-6,with,cpu,False,1,5.682818,-3.6249450536687964
stressng-cpu-qsort,1.100214,issdm-6,with,cpu,False,1,0.299998,-3.667404449362996
stressng-cpu-hanoi,31.940533,issdm-6,with,cpu,False,1,8.530594,-3.744233168288164
stressng-cpu-djb2a,21835.876491,issdm-6,with,cpu,False,1,5520.639222999999,-3.955316695941245
stressng-memory-mincore,8089.20991,issdm-6,with,memory,False,1,2030.308329,-3.984227318805429
stressng-cpu-bitops,540.245816,issdm-6,with,cpu,False,1,128.87763,-4.191928544930566
stressng-memory-full,33551.947426,issdm-6,with,memory,False,1,7932.791162,-4.229526120228904
stressng-string-strcmp,14460.611857,issdm-6,with,string,False,1,3371.534921,-4.289029239154662
stressng-memory-memcpy,70.025444,issdm-6,with,memory,False,1,15.996268,-4.377611327842219
stressng-cpu-gray,1605.382855,issdm-6,with,cpu,False,1,364.954823,-4.398853649346074
stressng-cpu-pjw,12834.940439,issdm-6,with,cpu,False,1,2899.6215,-4.426419254719969
stressng-memory-null,1691160.90765,issdm-6,with,memory,False,1,380955.904927,-4.43925631753645
